word,value
skóry,4
dawne,4
zatrzyma³,4
winem,4
pró¿no,4
daleko,4
stryjko,4
kilkunastu,4
zawo³a³?,4
œwiata,4
prawo,4
alibo,4
mówi³a,4
przyszed³,4
swej,4
guz,4
d³ugie,4
powiada,4
radzi,4
wraz,4
rozeœmia³,4
ojca,4
t¹,4
pacho³ka,4
te,4
tych,4
panna,4
ciechanowa,4
pacho³ek,4
przysz³a,4
przysz³o,4
rany,4
edyga,4
bêdziesz,4
czyniæ,4
niedŸwiedzia,4
czyni³,4
rada,4
bêdziem,4
wito³d,4
otworzy³,4
wykupiæ,4
m³odzianka,4
pewnie,4
klerycy,4
tatuœ,4
jagienka?i,4
doda³?,4
otuchy,4
puœciæ,4
wolê,4
spyta³a,4
brwi,4
niemce,4
je¿eli,4
maj¹,4
wodê,4
sosen,4
gospodzie,4
bardziej,4
wasze,4
³eb,4
wody,4
braæ,4
dni,4
blizko,4
palce,4
pomsty,4
wolno,4
dam,4
radoœci¹,4
piwa,4
niedŸwiedziego,4
zwróciwszy,4
obejrza³,4
com,4
tom,4
takich,4
takiej,4
by³by,4
krzy¿aków,3
mniemaj¹c,3
zachodzie,3
bystro,3
rêk¹,3
mocny,3
bitki,3
gotów,3
rêku,3
œciany,3
swe,3
rowem,3
boæ,3
nocami,3
masz?,3
topory,3
biæ,3
snu,3
opatowe,3
niespokojnie,3
spokojnie,3
ktoby,3
nale¿y,3
równe,3
baæ,3
wartko,3
siebie?,3
krzeœni?,3
hubkê,3
krewnego,3
uroda,3
miejsce,3
znalaz³,3
bory,3
³atwo,3
jeziorka,3
wyjechali,3
wygl¹dali,3
moj¹,3
boj¹,3
nami,3
boli,3
ostatni,3
moje,3
chytry,3
boku,3
ca³ego,3
moczydo³ach,3
rok,3
niepokojem,3
ziemie,3
jedzie,3
pierwszej,3
wojnê,3
pewn¹,3
si³y,3
szaty,3
ninie,3
spa³,3
sz³o,3
postaæ,3
jemu,3
zastawu,3
krewnych,3
spaæ,3
krwi¹,3
s³oñce,3
powiada³,3
nowina,3
powiadaj,3
obydwóch,3
psów,3
wêdrownych,3
jako¿e,3
kilka,3
grzbiet,3
dalej?,3
spokój,3
kupiec,3
spodziewa³,3
rogowa?,3
przywioz³a,3
jakto,3
zasiad³,3
waszych,3
ma³ego,3
chwyciæ,3
zdrów,3
skoczy³,3
miecze,3
danuœki,3
patrz¹c,3
tacy,3
pokaza³,3
wielki,3
danuœk¹,3
niejeden,3
nowych,3
ca³em,3
niektórzy,3
dziewucho,3
jecha³,3
wstyd,3
zostanie,3
pas,3
góry,3
królowej,3
nowo,3
gniewu,3
wina,3
¿ycie,3
jazdy,3
koniem,3
wpierw,3
zczasem,3
poczyna³o,3
jakowejœ,3
sprawy,3
pieœñ,3
jednego,3
zadziora,3
zrêkowiny,3
chwilami,3
nog¹,3
walkê,3
zaczem,3
œwiêtego,3
litwê,3
¿eleŸce,3
wszelako,3
oko,3
coby,3
okazaæ,3
powiedzieæ,3
ch³opaki,3
m¹ki,3
rozmowa,3
przedtem,3
zabili?,3
ostatniej,3
kniaŸ,3
jad¹c,3
jedn¹,3
nu¿,3
wrêcz,3
jakimœ,3
dawnych,3
wojciech,3
jagienk¹,3
drogi,3
chcia³em,3
izbach,3
skrom,3
nos,3
wprost,3
¿aden,3
wide³,3
zeskoczy³,3
danusi¹,3
danusiê,3
wszystkie,3
ukazuj¹c,3
spuœci³,3
wyraŸnie,3
siedzi,3
koœcio³em,3
jaka,3
znamy,3
przesz³o,3
piêtnaœcie,3
ty³u,3
zdarzy,3
¿yczliwie,3
nijak,3
szafranu,3
toby,3
czêœci,3
powa³a,3
najlepszego,3
rycerzowi,3
powtórzy³,3
skoro,3
tembardziej,3
patrzy,3
moc,3
poniektóry,3
ockn¹³,3
niekiedy,3
mig,3
bêdziecie,3
móg³by,3
jagna,3
inne,3
inni,3
gospody,3
znowu,3
dostaæ,3
dobrej,3
zdala,3
chciwie,3
œluby,3
uczyniæ,3
dobra,3
dobry,3
pierwsza,3
doma,3
pad³,3
weŸmie,3
poprzysi¹g³,3
kiedym,3
drzewiej,3
jednym,3
wesó³,3
doda³,3
œwiêty,3
wcale,3
imiê,3
¿yw,3
wo³aæ,3
to?,3
gorze,3
taczewa,3
œlub,3
¿eœ,3
g³upi,3
chleba,3
szczególnie,3
zwykle,3
owych,3
podobne,3
pacho³ków,3
wóz,3
matki,3
sprzêt,3
potwierdzi³,3
umyœlnie,3
bli¿ej,3
szukaæ,3
takim,3
zbóje,3
niechby,3
oblicze,3
du¿o,3
zdziwieniem,3
roków,3
³awy,3
musieli,3
uœmiechn¹³,3
duszy,3
³apy,3
skórze,3
przyjdzie,3
warszawy,3
Ÿle,3
fary,3
musisz,3
bogactwa,3
szelest,3
musia³,3
radoœæ,3
pojedziesz,3
zadnie,3
zbudzi³,3
stryjca,3
wyszed³,3
tamtej,3
tamten,3
piêæ,3
krzy¿a,3
œpiewaæ,3
nawpó³,3
myœla³em,3
zdrowi?,3
darów,3
dziesiêæ,3
kroki,3
dziesiêciu,3
cisza,3
okna,3
sto³u,3
atoli,3
cz³ek,3
chc¹,3
³upów,3
klêskê,3
palców,3
czêœæ,3
swoj¹,3
widzieli,3
zbli¿y³,3
amylej,3
id¹c,3
zych?,3
krakowa,3
ksiêcia,3
musicie,3
najlepiej,3
porwa³,3
poszli,3
napi¹³,3
kogo,3
mo¿na,3
niemcom,3
jacyœ,3
litewskich,3
dziewczyno,3
poci¹gn¹³,3
trzeci,3
co¿e,3
psubraty,3
pyta³,3
kochanie,3
ognisko,3
ga³êzie,3
pamiêtaæ,3
ch³opy,3
¿adnego,3
mazowsze,3
da³by,3
pobli¿u,3
pustki,3
pamiêtaj,3
gniewem,3
szuka,3
razu,3
zatem,3
pani¹,3
s³ysz¹c,3
dziœ,3
obyczaj,3
ej,3
ka¿d¹,3
ramionami,3
osadzi³,3
gadali,3
mszy,3
zgo³a,3
krzes³a,3
ogl¹daæ,3
znik³,3
zerwa³,3
uradowany,3
komory,3
w¹tpliwoœci,3
pewnem,3
ród,3
przynajmniej,3
celu,3
sza³asie,3
goœci,3
gor¹czka,3
ozwa³y,3
nikogo,3
dowiedzieæ,3
wozu,3
szpylmanów“,3
puœci³,3
kusze,3
sosny,3
le¿a³y,3
niemcy,3
niema³o,3
starego,3
zbyszko?i,3
wysun¹³,3
korby,3
wystrzelali,3
czasach,3
z³ot¹,3
znacznie,3
ust,3
stali,3
ma?,3
tatulu,3
przedzie,3
jest?,3
ma³gochna,3
bieda,3
radoœci,3
wiêkszym,3
nazajutrz,3
daj,3
rycerzom,3
tatarzy,3
odpar³,3
tedy,3
wola³,3
powtarzaæ,3
wdziêcznoœæ,3
rycerzyk,3
onych,3
zrozumia³,3
dziewczynie,3
fryzach,3
sam¹,3
owce,3
piêkny,3
poczekaniu,2
rogi,2
rogu,2
rodu,2
zasta³,2
darmoch,2
zwoje,2
toczyæ,2
zbroi,2
znaleŸli,2
zgin¹æ,2
posi³kowych,2
bystry,2
drzwiach,2
sw¹,2
podró¿y,2
lecia³,2
doœwiadczenia,2
sianem,2
dzicze,2
przyjaŸñ,2
³uków,2
syn,2
zosta³a,2
bitka,2
³atwoœci¹,2
rêki,2
boœ,2
przyjœæ,2
przeto,2
jurandówna,2
znaj¹ca,2
wzi¹wszy,2
znaj¹cy,2
chmielem,2
osta³,2
pe³ne,2
cmentarz,2
królestwo,2
innymi,2
zdrowi,2
drzwiami,2
pysk,2
mêsku,2
wojewoda,2
opatow¹,2
królowa,2
si³,2
popatrzywszy,2
p³owcami,2
g³êbinê,2
¿elazny,2
nieprzyjació³,2
topora,2
rykn¹³,2
równo,2
napijê,2
mieczów,2
zychem,2
zarazbym,2
odpasz,2
kopi¹,2
danuta,2
szl¹ska,2
chowaæ,2
zastaw,2
wszed³szy,2
prêdko,2
