word,value
messenger,13
flowed,13
hundreds,13
second,13
talked,13
rate,13
fool,13
fought,13
faint,13
allowed,13
walking,13
surprise,13
sorrow,13
stair,13
mail,13
dwarf,13
dying,13
beautiful,13
sank,13
treebeard,13
guards,13
lord’s,12
begun,12
children,12
doing,12
‘not,12
‘nay,12
dared,12
mood,12
dust,12
stirred,12
mount,12
alas,12
spear,12
endure,12
withered,12
healed,12
space,12
andros,12
itself,12
orthanc,12
iron,12
winged,12
trying,12
southward,12
grown,12
mindolluin,12
wisdom,12
creature,12
blue,12
dawn,12
asleep,12
arose,12
search,12
lived,12
crossed,12
cruel,12
leading,12
prepared,12
tongue,12
middle,12
isildur,12
pack,12
loved,12
well’,12
halbarad,12
mantle,12
show,12
saying,12
read,12
retreat,12
fast,12
steep,12
present,12
reckon,12
beat,12
chair,12
ways,12
shirriffs,12
early,12
loomed,12
lads,12
now’,12
heir,12
kissed,12
blackness,12
likely,12
keeping,12
blowing,12
fit,12
dwell,12
neck,12
‘do,12
valour,12
brow,12
hiding,12
rivendell,12
later,12
bodies,12
glare,12
flung,11
storm,11
glory,11
crawled,11
begin,11
deem,11
joined,11
awake,11
parted,11
cair,11
abroad,11
truth,11
trust,11
anyone,11
drove,11
marching,11
arrow,11
spears,11
wise,11
‘there,11
shapes,11
suppose,11
nay,11
stretched,11
saved,11
paces,11
‘they,11
blessed,11
‘it’s,11
distant,11
‘where,11
murmured,11
fifty,11
greatest,11
sunlight,11
comfort,11
vain,11
sick,11
roused,11
‘why,11
eorl,11
fortune,11
listening,11
fail,11
rule,11
count,11
chain,11
slaves,11
welcome,11
departed,11
not’,11
fords,11
single,11
heed,11
seat,11
morgai,11
lo,11
charge,11
happened,11
older,11
expected,11
remain,11
‘come,11
worn,11
stumbled,11
thousand,11
roof,11
drums,11
clothes,10
hair,10
utterly,10
range,10
drank,10
figure,10
esquire,10
watchers,10
tents,10
spread,10
case,10
southwards,10
bold,10
view,10
tended,10
steadily,10
hurried,10
score,10
holding,10
struggled,10
finger,10
topmost,10
troubled,10
dangerous,10
fine,10
master’,10
labours,10
wasn’t,10
clutching,10
council,10
noon,10
torment,10
brief,10
master’s,10
claim,10
beheld,10
laboured,10
wrong,10
lives,10
forgetting,10
carved,10
carven,10
onset,10
forces,10
‘then,10
danger,10
renown,10
crack,10
spared,10
crossroads,10
opening,10
lad,10
‘,10
wear,10
nights,10
clasped,10
break,10
they’re,10
man’s,10
merry’s,10
parting,10
distance,10
knelt,10
wains,10
touch,10
harad,10
lossarnach,10
household,10
sooner,10
torch,10
strike,10
killed,10
beginning,10
vision,10
hot,10
beer,10
‘how,10
slope,10
quietly,10
lane,10
wake,10
elessar,10
standard,10
ruined,10
haven’t,10
barrier,10
seek,10
become,10
banners,10
fro,10
matters,10
sides,10
stop,10
‘go,10
soldier,10
ephel,10
lore,10
mounds,10
glittering,10
staff,10
flames,10
flowers,10
climb,10
start,10
top,10
pressed,10
hate,10
ordered,10
beggar,9
weather,9
throne,9
higher,9
bow,9
several,9
six,9
deed,9
kind,9
born,9
camp,9
row,9
stabbed,9
setting,9
hopes,9
flickered,9
swept,9
ghân,9
barren,9
struggle,9
snow,9
manner,9
chill,9
battlement,9
leather,9
cone,9
rosie,9
drop,9
evidently,9
gorgoroth,9
draw,9
thunder,9
stumbling,9
nearby,9
blind,9
understood,9
gift,9
praise,9
scouts,9
gather,9
lockholes,9
gazing,9
knowing,9
holes,9
height,9
unseen,9
twenty,9
touched,9
easy,9
someone,9
commanded,9
fury,9
lonely,9
homes,9
havens,9
press,9
piercing,9
matter,9
pelargir,9
match,9
figures,9
awaits,9
skirts,9
sigh,9
bundle,9
thinking,9
corner,9
wrapped,9
mischief,9
harsh,9
real,9
number,9
choose,9
rammas,9
nigh,9
snowmane,9
rangers,9
dimly,9
looming,9
‘yet,9
bell,9
listened,9
anórien,9
them’,9
twice,9
hid,9
having,9
effort,9
stooped,9
glimmering,9
creatures,9
ye,9
deeper,9
valiant,9
thin,9
waters,9
flower,9
sharkey,9
thence,9
rath,9
twilight,9
dike,9
‘all,9
rested,9
wanted,9
ungol,9
crawling,9
dúath,9
‘so,9
‘is,9
lose,9
loss,9
released,9
woke,9
waking,9
waste,9
feast,9
brown,9
shown,9
mountain’s,9
watch,9
shout,9
cup,9
spirit,9
fountain,9
arwen,9
dozen,8
mortal,8
slipped,8
there’,8
thrown,8
mists,8
fresh,8
bound,8
turret,8
facing,8
hunters,8
ate,8
dusk,8
dull,8
ringbearer,8
fleet,8
calling,8
throat,8
ringing,8
‘i’m,8
fumes,8
éowyn’,8
chief’s,8
glow,8
day’s,8
serve,8
answering,8
strider,8
good’,8
gasped,8
lebennin,8
grievous,8
fruit,8
cloaks,8
sister,8
robed,8
smokes,8
willing,8
settled,8
men’s,8
lower,8
elfhelm,8
shivered,8
pouring,8
westernesse,8
forest,8
dirty,8
lotho,8
upwards,8
bill,8
seeking,8
‘a,8
afar,8
surely,8
wounded,8
loves,8
‘here,8
thank,8
legs,8
expect,8
leaf,8
teeth,8
laughing,8
elrohir,8
somewhere,8
threatening,8
counsels,8
trembling,8
however,8
servant,8
sixth,8
offer,8
daughter,8
job,8
sheds,8
glimpse,8
worst,8
rear,8
removed,8
pool,8
celeborn,8
nice,8
ridges,8
staring,8
feared,8
belt,8
bend,8
dropped,8
elladan,8
notice,8
beds,8
meal,8
sounds,8
weapon,8
tide,8
lain,8
lodging,8
tooks,8
gap,8
gandalf’s,8
rules,8
apart,8
somehow,8
locked,8
knee,8
won,8
ford,8
tumbled,8
trembled,8
smote,8
fed,8
summons,8
heralds,8
trumpet,8
ingold,8
triumph,8
waved,8
driving,8
‘to,8
‘at,8
business,8
southrons,8
question,8
muster,8
carried,7
floating,7
stout,7
strode,7
recall,7
guide,7
bending,7
story,7
plainly,7
plunged,7
horrible,7
haradrim,7
amazement,7
númenor,7
beauty,7
suffer,7
boss,7
elfstone,7
gorg?n,7
ash,7
silently,7
ladder,7
smaller,7
sorry,7
escaped,7
saddle,7
lamedon,7
rolling,7
southern,7
garrison,7
healer,7
inside,7
wield,7
laughter,7
fill,7
friend’,7
spare,7
knowledge,7
mostly,7
end’,7
perish,7
kindred,7
folly,7
wine,7
hirgon,7
challenge,7
oath,7
dart,7
ruffian,7
lady’,7
twelve,7
engines,7
see’,7
steeds,7
keys,7
coat,7
greeted,7
scarcely,7
league,7
rocks,7
otherwise,7
wouldn’t,7
flash,7
shoulder,7
right’,7
torn,7
rich,7
blazed,7
journeyed,7
eager,7
mayor,7
fingers,7
beard,7
gwaihir,7
beaten,7
‘let,7
sense,7
proudly,7
know’,7
mill,7
